01/07/1995	, 39.91
01/08/1995	, 41.57
01/09/1995	, 43.48
01/10/1995	, 45.66
01/11/1995	, 48.46
01/12/1995	, 51.97
01/01/1996	, 51.72
01/02/1996	, 48.95
01/03/1996	, 43.75
01/04/1996	, 36.93
01/05/1996	, 33.83
01/06/1996	, 31.82
01/07/1996	, 31.03
01/08/1996	, 30.6
01/09/1996	, 30
01/10/1996	, 28.97
01/11/1996	, 27.77
01/12/1996	, 27.7
01/01/1997	, 26.44
01/02/1997	, 25.64
01/03/1997	, 24.46
01/04/1997	, 22.33
01/05/1997	, 21.23
01/06/1997	, 20.35
01/07/1997	, 19.7
01/08/1997	, 19.18
01/09/1997	, 18.76
01/10/1997	, 18.24
01/11/1997	, 17.77
01/12/1997	, 15.72
01/01/1998	, 15.27
01/02/1998	, 15.35
01/03/1998	, 15.27
01/04/1998	, 15.1
01/05/1998	, 14.97
01/06/1998	, 15.31
01/07/1998	, 15.41
01/08/1998	, 15.5
01/09/1998	, 15.92
01/10/1998	, 16.65
01/11/1998	, 17.41
01/12/1998	, 18.61
01/01/1999	, 19.02
01/02/1999	, 18.54
01/03/1999	, 18.26
01/04/1999	, 18.23
01/05/1999	, 18.01
01/06/1999	, 17.39
01/07/1999	, 17.04
01/08/1999	, 16.58
01/09/1999	, 15.83
01/10/1999	, 14.91
01/11/1999	, 13.92
01/12/1999	, 12.32
01/01/2000	, 11.02
01/02/2000	, 10.52
01/03/2000	, 10.11
01/04/2000	, 9.73
01/05/2000	, 9.48
01/06/2000	, 9.41
01/07/2000	, 9.12
01/08/2000	, 9.1
01/09/2000	, 8.85
01/10/2000	, 8.91
01/11/2000	, 8.87
01/12/2000	, 8.96
01/01/2001	, 8.11
01/02/2001	, 7.09
01/03/2001	, 7.17
01/04/2001	, 7.11
01/05/2001	, 6.95
01/06/2001	, 6.57
01/07/2001	, 5.88
01/08/2001	, 5.93
01/09/2001	, 6.14
01/10/2001	, 5.89
01/11/2001	, 5.39
01/12/2001	, 4.4
01/01/2002	, 4.79
01/02/2002	, 4.79
01/03/2002	, 4.66
01/04/2002	, 4.7
01/05/2002	, 4.68
01/06/2002	, 4.94
01/07/2002	, 5.51
01/08/2002	, 5.29
01/09/2002	, 4.95
01/10/2002	, 4.94
01/11/2002	, 5.39
01/12/2002	, 5.7
01/01/2003	, 5.16
01/02/2003	, 5.52
